Team,League,Year,RS,RA,W,OBP,SLG,BA,Playoffs,G,Adjusted_Salary,Attendance, Winning_% 
TBD,AL,2003,715,852,63,0.32,0.404,0.265,0,162,26696800,1058695, 0.39 
TBD,AL,2004,714,842,70,0.32,0.405,0.258,0,161,39307042,1275011, 0.43 
TBD,AL,2005,750,936,67,0.329,0.425,0.274,0,162,36693206,1124189, 0.41 
TBD,AL,2006,689,856,61,0.314,0.42,0.255,0,162,43298279,1369031, 0.38 
TBD,AL,2007,782,944,66,0.336,0.433,0.268,0,162,29189435,1389031, 0.41 
TBD,AL,2008,774,671,97,0.34,0.422,0.26,1,162,52146779,1780791, 0.60 
TEX,AL,1998,940,871,88,0.357,0.462,0.289,1,162,87055576,2927399, 0.54 
TEX,AL,1999,945,859,95,0.361,0.479,0.293,1,162,115831996,2774501, 0.59 
TEX,AL,2000,848,974,71,0.352,0.446,0.283,0,162,98945545,2800075, 0.44 
TEX,AL,2001,890,968,73,0.344,0.471,0.275,0,162,123843170,2831111, 0.45 
TEX,AL,2002,843,882,72,0.338,0.455,0.269,0,162,143669642,2352447, 0.44 
TEX,AL,2003,826,969,71,0.33,0.454,0.266,0,162,126650000,2094394, 0.44 
TEX,AL,2004,860,794,89,0.329,0.457,0.266,0,162,57434388,2513685, 0.55 
TEX,AL,2005,865,858,79,0.329,0.468,0.267,0,162,70243200,2486925, 0.49 
TEX,AL,2006,835,784,80,0.338,0.446,0.278,0,162,84193101,2388757, 0.49 
TEX,AL,2007,816,844,75,0.328,0.426,0.263,0,162,82204587,2353862, 0.46 
TEX,AL,2008,901,967,79,0.354,0.462,0.283,0,162,78760885,1945677, 0.49 
TOR,AL,1998,816,768,88,0.34,0.448,0.266,0,163,79119040,2454303, 0.54 
TOR,AL,1999,883,862,84,0.352,0.457,0.28,0,162,67752693,2163486, 0.52 
TOR,AL,2000,861,908,83,0.341,0.469,0.275,0,162,67215965,1819919, 0.51 
TOR,AL,2001,767,753,80,0.325,0.43,0.263,0,162,104648319,1895236, 0.49 
TOR,AL,2002,813,828,78,0.327,0.43,0.261,0,162,101559423,1636904, 0.48 
TOR,AL,2003,894,826,86,0.349,0.455,0.279,0,162,69304240,1799458, 0.53 
TOR,AL,2004,719,823,67,0.328,0.403,0.26,0,161,66522610,1900041, 0.42 
TOR,AL,2005,775,705,80,0.331,0.407,0.265,0,162,58520960,1977949, 0.49 
TOR,AL,2006,809,754,87,0.348,0.463,0.284,0,162,88492600,2302182, 0.54 
TOR,AL,2007,753,699,83,0.327,0.419,0.259,0,162,98084173,2360648, 0.51 
TOR,AL,2008,714,610,86,0.331,0.399,0.264,0,162,113946300,2399786, 0.53 
